hire_id,department,start_date,offer_to_start_days,it_ticket_opened_days_before_start,it_provisioned_by_day_1,manager_1on1_within_48h,orientation_completed_by_day_5,role_training_complete_by_day_14,days_to_independent,readiness_signoff_status
H-001,Engineering,2026-01-12,21,2,false,false,true,false,38,signed_off_late
H-002,Sales,2026-01-19,14,4,false,true,true,true,24,signed_off_late
H-003,Engineering,2026-01-26,10,1,false,false,false,false,46,still_pending
H-004,Marketing,2026-02-02,17,7,true,true,true,true,21,signed_off_on_time
H-005,Engineering,2026-02-02,12,0,false,false,true,false,41,signed_off_late
H-006,Customer Success,2026-02-09,18,3,false,true,true,true,28,signed_off_late
H-007,Finance,2026-02-09,21,8,true,true,true,true,20,signed_off_on_time
H-008,Engineering,2026-02-16,9,1,false,false,false,false,49,still_pending
H-009,Sales,2026-02-16,14,2,false,true,true,false,33,signed_off_late
H-010,Engineering,2026-02-23,12,0,false,false,true,false,42,signed_off_late
H-011,Product,2026-02-23,19,6,true,true,true,true,22,signed_off_on_time
H-012,Engineering,2026-03-02,11,1,false,false,true,false,39,signed_off_late
H-013,Sales,2026-03-02,15,3,false,true,true,true,27,signed_off_late
H-014,Customer Success,2026-03-09,17,5,true,true,true,true,21,signed_off_on_time
H-015,Engineering,2026-03-09,8,0,false,false,false,false,44,still_pending
H-016,Marketing,2026-03-16,16,4,false,true,true,true,29,signed_off_late
H-017,Engineering,2026-03-16,10,1,false,false,true,false,40,signed_off_late
H-018,Finance,2026-03-23,20,7,true,true,true,true,21,signed_off_on_time
H-019,Engineering,2026-03-23,13,2,false,false,true,false,37,signed_off_late
H-020,Sales,2026-03-30,14,3,false,true,true,false,31,signed_off_late
H-021,Engineering,2026-04-06,9,0,false,false,false,false,45,still_pending
H-022,Product,2026-04-06,18,5,true,true,true,true,23,signed_off_on_time
H-023,Engineering,2026-04-13,11,1,false,false,true,false,40,signed_off_late
H-024,Customer Success,2026-04-13,16,4,false,true,true,true,28,signed_off_late
H-025,Sales,2026-04-20,15,3,false,true,true,false,32,signed_off_late
H-026,Engineering,2026-04-20,10,1,false,false,false,false,43,still_pending
H-027,Marketing,2026-04-20,18,6,true,true,true,true,21,signed_off_on_time
H-028,Finance,2026-04-20,22,9,true,true,true,true,19,signed_off_on_time
H-029,Engineering,2026-04-20,8,0,false,false,true,false,41,signed_off_late
H-030,Product,2026-04-20,17,5,true,true,true,true,22,signed_off_on_time
